#dig start(24;21; Start: Center) 
d,d,d,d,d, , , , , , , ,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , #
d,d,d,d,d, , ,d,d,d, , ,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , #
d,d,d,d,d,d,d,d,d,d, , ,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , #
d,d,d,d,d, , ,d,d,d, , ,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , #
d,d,d,d,d, , , ,d, , , ,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , #
 , , , , , , , ,d, , , , , ,d, , , , , ,d, , , , , , , , , , , ,d, , , , , ,d, , , , , , , , , #
d,d,d,d,d, , , ,d, , , , , ,d, , , , , ,d, , , , , , , , , , , ,d, , , , , ,d, , , , , , , , , #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , , , , #
d,d,d,d,d,d,d,d,d,d, , , ,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d, , , , , , , , #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , , , , #
d,d,d,d,d, , , , , ,d, , , , , ,d, , , ,d, , , , , , , , , , , ,d, , , , , ,d, , , , , , , , , #
 , ,d, , , , , , , , ,d,d,d,d,d,d,d, , ,d, , , , , , , , , , , ,d, , , , , ,d, , , , , , , , , #
d,d,d,d,d, , , , , , , , , , , , , ,d, ,d, , , , , , , , , , , ,d, , , , , ,d, , , , , , , , , #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , ,d,d, , , , ,d,d,d, , , , ,d, , , , ,d,d,d, , , , , , , , #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , ,d, , , , ,d,d,d, , , , ,d, , , , ,d,d,d, , , , , , , , #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , , ,d, , , , ,d,d,d, , , ,d, , , , , ,d,d,d, , , , , , , , #
d,d,d,d,d, , , , , , , , , , , ,d, , , ,d, , , , , ,d, , , ,d, , , , , , , ,d, , , , , , , , , #
 , ,d, , , , , , , , , , , , , , ,d, , ,d, , , , , ,d, , ,d, , , , , , , , ,d, , , , , , , , , #
d,d,d,d,d, , , , , , , , , , , , , ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , , , ,d, , , ,d,d,d,d,d, #
d,d,d,d,d, , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , ,d,d,d,d,d, #
d,d,d,d,d,d,d,d,d,d, , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , ,d,d,d,d,d, #
d,d,d,d,d, , , , , , , ,d, , , , , ,d,d,d,d,d, ,d,d,d,d,d, , , ,d, , , , , , , , , ,d,d,d,d,d, #
 , , , , , , , , , , ,d, , , , , ,d, , ,d, , , , , ,d, , ,d, , ,d, , , , , , , , , , , , , , , #
d,d,d,d,d, , , , , ,d, , , , , ,d, , , ,d, , , , , ,d, , , ,d, ,d, , , ,d,d,d,d,d, ,d,d,d,d,d, #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , ,d,d,d,d,d, ,d,d,d,d,d, #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , ,d,d,d,d,d, ,d,d,d,d,d, #
d,d,d,d,d, , , , , , , , , , , , , , , ,d, , , , , ,d, , , , , ,d, , , ,d,d,d,d,d, ,d,d,d,d,d, #
 , , , , , , , , , , , , , , , , , , , ,d, , , , , ,d, , , , , ,d, , , , , , , , , , , , , , , #
d,d,d,d,d, , , , , , , , , , , , , , , ,d, , , , , ,d, , , , , ,d, , , , , , , , , , , , , , , #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , , , , , , , , , , #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , , , , , , , , , , #
d,d,d,d,d, , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , ,d,d,d, , , , , , , , , , , , , , #
d,d,d,d,d, , , , , , , , , ,d, , , , , ,d, , , , , ,d, , , , , ,d, , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , ,d, , , , , ,d, , , , , ,d, , , , , ,d, , , , , , , , , , , , , , , #
 , , , , , , , , , , , ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , , , , , , , #
 , , , , , , , , , , , ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , , , , , , , #
 , , , , , , , , , , , ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , #
 , , , , , , , , , , , ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , , , , , , , #
 , , , , , , , , , , , ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, ,d,d,d,d,d, , , , , , , , , , , , , #
#