#dig start(30;17; Start: Center) 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , #
 , , , , , , , ,d,d, ,d,d, ,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d, ,d,d, ,d,d, , , , , , , , , #
 , , , , , , , ,d,d, ,d,d, ,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d, ,d,d, ,d,d, , , , , , , , , #
 , , , , ,d,d, , ,d, ,d, , ,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d, , ,d, ,d, , ,d,d, , , , , , #
 , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , #
 , , , , , , , ,d,d,d,d,d,d,d, ,d, ,d, , , , , , , , , ,d,d,d, , , , , , , , , ,d, ,d, ,d,d,d,d,d,d,d, , , , , , , , , #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d, ,d, , , , , , , , , ,d,i,d, , , , , , , , , ,d, ,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d, , , , , , , , , , ,d,d,d, , , , , , , , , , ,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
d,d,d, , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , ,d,d,d, #
d,d,d, , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , ,d,d,d, #
d,d,d, , ,d,d, , ,d, ,d, , ,d, , ,d, , , , , , , , , , , , , , , , , , , , , , , ,d, , ,d, , ,d, ,d, , ,d,d, , ,d,d,d, #
d,d,d, , , , , ,d,d, ,d,d, ,d,d, ,d,d, , , , , , , , , , , , , , , , , , , , , ,d,d, ,d,d, ,d,d, ,d,d, , , , , ,d,d,d, #
d,d,d, , , , , ,d,d, ,d,d, ,d,d, ,d,d, , , , , , , , , , , , , , , , , , , , , ,d,d, ,d,d, ,d,d, ,d,d, , , , , ,d,d,d, #
d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, #
d,d,d, ,d,d, , , ,d,d, , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , ,d,d, , , ,d,d, ,d,d,d, #
d,d,d, ,d,d,d,d,d,d,d, , , ,d, , , , , ,d, , , , , , , , , , , , , , , , , ,d, , , , , ,d, , , ,d,d,d,d,d,d,d, ,d,d,d, #
d,d,d, , , , ,d, , , , , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , , , , ,d, , , , ,d,d,d, #
d,d,d, ,d,d, ,d, ,d,d, ,d,d, ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, ,d,d, ,d,d, ,d, ,d,d, ,d,d,d, #
d,d,d, ,d,d,d,d,d,d,d, ,d,d, ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, ,d,d, ,d,d,d,d,d,d,d, ,d,d,d, #
d,d,d, , , , ,d, , , , ,d, , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , ,d, , , , ,d, , , , ,d,d,d, #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, #
 , , , , , , ,d, , , , ,d, , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , ,d, , , , ,d, , , , , , , , #
 , , , ,d,d,d,d,d,d,d, ,d,d, ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, ,d,d, ,d,d,d,d,d,d,d, , , , , #
 , , , ,d,d, ,d, ,d,d, ,d,d, ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, ,d,d, ,d,d, ,d, ,d,d, , , , , #
 , , , , , , ,d, , , , , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , , , , ,d, , , , , , , , #
 , , , ,d,d,d,d,d,d,d, , , ,d, , , , , ,d, , , , , , , , , , , , , , , , , ,d, , , , , ,d, , , ,d,d,d,d,d,d,d, , , , , #
 , , , ,d,d, , , ,d,d, , , , ,d,d,d,d,d, , , , , , , , , , , , , , , , , , , ,d,d,d,d,d, , , , ,d,d, , , ,d,d, , , , , #
#